operated_as,count
TUI,47
THY,63
LOT,5
ASL,4
EWG,47
ANE,105
WMT,96
AEG,19
BUC,9
ARG,3
KLC,39
ENT,10
EWL,147
TAY,15
RYS,58
RSC,255
IBE,240
PAV,11
UPS,45
RGN,27
WZZ,48
AHY,14
EDW,28
WJA,26
PLM,2
AMX,4
LVL,34
NAY,158
BOV,10
ETD,1
SWT,111
WUK,6
OCN,10
CCA,13
MBU,47
PGA,42
TVF,22
ELY,24
TSC,2
VOE,79
NSZ,17
INR,16
SWR,33
CSN,1
DLH,72
ACA,13
CFG,83
FJO,1
EVE,13
null,70
EZY,46
KAL,22
BTI,13
FIN,14
LAV,4
TRA,100
RYR,361
IBB,53
CNF,98
HST,31
MAY,220
AVA,42
DAL,57
EJU,56
HOP,58
AWG,8
NOS,4
IBS,76
TOM,17
UAL,65
CYP,4
OVA,39
EZS,30
TFL,7
SZS,2
IPL,2
AAL,62
UAE,31
TVS,29
VLG,463
WFL,14
LAN,14
DHA,21
BCS,42
BEL,10
MLH,8
AEA,68
CGF,20
JAF,13
AEE,19
TAR,1
EXS,4
JBU,17
ABR,4
QQE,3
KRP,2
AXY,3
HAT,3
LGL,1
KPO,1
LDA,8
NOZ,7
AFR,1
GJT,9
SWN,4
VJT,3
LXJ,3
NJE,5
MAC,10
TAM,4
XTX,1
AED,1
STQ,1
NVD,3
EJA,4
AAR,9
MMZ,1
QTR,4
AEP,1
BOH,1
PTN,2
SHP,2
JFL,1
BEJ,2
DGC,3
PVG,2
TEU,1
ETH,3
EAF,5
CES,1
GAC,2
AAO,1
OAW,2
AUA,5
FSE,1
AZE,1
FYS,3
EOA,1
TJD,1
AWH,1
QRJ,1
TVP,2
ORO,1
JNJ,1
CWG,1
BFX,1
CXB,1
AZU,1
AAN,1
MDO,1
HRN,1
WPT,1
EIN,1
